Statement,True,False
"""If you are a gun store owner and you decide to go out of business … you right now are allowed to convert your entire gun store inventory to ‘personal use' and once it is a personal use weapon, you can sell it without background checks."". Says ""red flag laws"" allow gun seizure without a judge's involvement: ""They take it away first. Then you have to get permission from a judge to do it."".",0.5,0.5
"""The Democrats are pushing for an implanted microchip in humans, and everyone to be vaccinated."". ""All the Democrats on the entire stage — every Democratic candidate said they want to give free health care to illegals."".",0.0,1.0
"I was totally against the war in Iraq, saying for many years that it would destabilize the Middle East. On the Iraq war, I said it loud and clear, Youll destabilize the Middle East.",0.0,1.0
"In the 1990s, the Biden Crime Bill added 100,000 cops to America's streets. As a result, murder and violent crime rates went down eight years in a row. Joe Biden brought Republicans and Democrats together to pass the 1994 crime bill, putting 100,000 cops on the streets and starting an eight-year drop in crime across the country.",0.5,0.5
"One generation ago we led the world in college graduation. Were 16th today. ""At UNC 14% of students tested positive."".",0.5,0.5
A recall election for Wisconsin governor would cost $7.7 million -- $7.7 million that may already be allocated to merit raises for teachers or health care for the poor or school books for your kids. A Republican-sponsored Wisconsin mining bill will take at least seven years to create jobs.,0.5,0.5
"Sixteen thousand new Internal Revenue Service agents will be empowered to enforce the new health care legislation. Under Ted Cruzs tax plan, businesses will now have to pay 16 percent on the money they make. They will also have to pay 16 percent on the money they pay their employees.",0.5,0.5
"Wisconsins Government Accountability Board wanted to consider Mickey Mouse and Adolf Hitler as valid signatures on recall petitions. Wisconsin election officials to accept Mickey Mouse, Hitler signatures on recall petitions.",0.0,1.0
State agencies have not identified one single instance where groundwater has been damaged due to hydraulic fracking. Says theres no proven instance where hydraulic fracking has polluted groundwater.,1.0,0.0
"Research shows the employer mandate in the House health reform bill would ""place millions 'at substantial risk of unemployment' with minority workers losing their jobs at twice the rate of their white counterparts."". The CBOs latest report confirms what Republicans have been saying for years now Under Obamacare, millions of hardworking Americans will lose their jobs.",0.5,0.5
"The average state pension, including managers, is $23,000 a year; and just $14,000 for local government workers. Says she does the jobs of state auditor, secretary of state and lieutenant governor for less than the price of one of them in Washington state.",0.5,0.5
"Says as president he has ""total"" authority to re-open states amid the COVID-19 pandemic. ""We passed one of the first (COVID-19) bills in the entire country, empowering Gov. Evers to act."".",0.0,1.0
"COVID-19 cases are ""up only because of our big number testing."". ""The (COVID-19) cases are going up, but it's because the testing is going up."".",0.0,1.0
Ronald Reagans philosophy of peace through strength is why the Iranians released the hostages on the same day and at the same hour that Reagan was sworn in. Hostages were released as soon as Ronald Reagan took office because Iran perceived that America was no longer under the command of someone weak.,0.0,1.0
"We in Indiana have . . . the highest credit rating in the nation. Says as Indiana governor, he has made record investments in education.",1.0,0.0
Says gas costs $4.50 a gallon. Gasoline would rise in price by approximately 50 cents a gallon if the McCain-Lieberman bill became law.,0.0,1.0
"When I became governor, I inherited a large deficit. You know what? We just turned that into the largest surplus in Virginia history. When I took office last year we faced historic budget deficits of $6 billion here in Virginia. And we closed those deficits by cutting spending.",0.0,1.0
"In one Colorado hospital, 50 percent of newborns tested had marijuana in their system. Oregon House Republicans jobs plan could generate more than 50,000 jobs over five years.",1.0,0.0
"Says Americans invented Pong, Space Invaders and the iPhone. Says iPads and iPhones are built in the United States of America.",0.5,0.5
"Nearly 6 in 10 uninsured Americanscan get health insurance for what may be the equivalent of your cell phone bill. Reauthorizing the Children's Health Insurance Program ""for six years saves $1 billion"" and doing it for 10 years saves $6 billion.",1.0,0.0
"Amid the COVID-19 outbreak, ""Minnesota now has the highest unemployment rate in U.S. history."". Before COVID-19, ""Iowa had one of the lowest unemployment rates in the country, and many employers were scrambling to find qualified employees to fill their job openings."".",0.5,0.5
"300,000 Floridians have lost their health insurance as a result of Obamacare. Because of the federal health care law, 300,000 health plans canceled in Florida.",0.0,1.0
"Chinese tire imports threatened 1,000 American jobs, so President Obama stood up to China and protected American workers. Mitt Romney attacked Obamas decision. After they bought GST Steel, Mitt Romney and his partners loaded it with debt, closed the Kansas City plant and walked away with a healthy profit, leaving hundreds of employees out of work with their pensions in jeopardy.",1.0,0.0
"Fifty-one percent -- that is, a majority of American households -- paid no income tax in 2009. Zero. Zip. Nada. Says Maggie Hassan pays zero property taxes on her $500,000 home.",0.5,0.5
The IRS doesnt have to prove something against you ... youve got the burden of proof. Says the inspector general for the IRS said there was no political motivation and no outside influence for targeting of tax-exempt applications from tea party groups.,1.0,0.0
"In 2006, Charlie Crist opposed in-state tuition for illegal immigrants. Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.",0.5,0.5
"Health insurance and medical costs are going down because of Obamacare. Because of the new health care law, Americans no longer will see their coverage dropped or capped when illness strikes.",0.5,0.5
"Barbara Boxer voted to cut spending on Medicare benefits by $500 billion, cuts so costly to hospitals and nursing homes that they could stop taking Medicare altogether. Says Kurt Schrader voted to cut $500 billion from Medicare, threatening thousands of Oregon seniors and their access to their current coverage.",0.0,1.0
"Says that under Scott Walker, on a percentage basis, Wisconsin is ""spending twice as much on debt service for just basic road repair and maintenance"" than before he took office. Says when he was governor, Wisconsin cut unemployment to 2.1 percent and the states unemployment rate was the lowest in the country for 40 consecutive months.",0.5,0.5
Romney would turn Medicare into a voucher program. Says Mitt Romney and Paul Ryan want to turn Medicare into a voucher system.,1.0,0.0
"Since Wisconsin Gov. Scott Walker took office, we are losing jobs at rates not seen in decades. Wisconsin has ""the fastest-shrinking middle class in the country."".",0.0,1.0
"Sen. Robert Bennett, R-Utah, cast votes for TARP, the stimulus, and an individual mandate for health care. Says Lloyd Doggett voted for the health care, stimulus and cap-and-trade bills.",0.5,0.5
"""NASA says an asteroid bigger than a football pitch is heading towards Earth."". John McCain intervened, which helped Airbus get that Pentagon contract.",0.0,1.0
"""There's more union jobs growing in Texas, which is a right-to-work state, than in Illinois, and factory workers make more money in Texas than they do in Illinois."". More Texans have new jobs today than the entire population of Fort Worth.",1.0,0.0
"Says that as president, Barack Obama has not gone to the Texas-Mexico border. Texas is home to millions of Latinas, but the state has never elected a Latina to Congress.",0.5,0.5
"The states unemployment rate is fifth-highest in the country, a full point above the nationwide rate and higher than all of our...neighboring states. Says Chicagoans ""live in one of the most taxed cities and the most taxed county, unfortunately, in the country."".",0.5,0.5
"Let's pay attention to kids who are not going to college, which ends up being about 60 percent of the kids... and get them trained for the jobs that are there. Because, you know, there are auto mechanic jobs paying $50,000, $60,000 that they can't get filled. There are airline mechanic jobs paying a lot of money that can't get filled. Remarks at AFSCME forum 6/19/2007. Right now, 50 percent of Florida students leaving high school cannot read at grade level.",1.0,0.0
"U.S. is ""really not doing (COVID-19) reporting right"" because deaths are being improperly counted and hospitals have an ""incentive"" to pad stats. ""We have one of the lowest mortality rates in the world"" from COVID-19.",0.0,1.0
No one thought we could get a bipartisan bill (Medicaid) passed. We did in the Florida Senate. The Florida Supreme Court has no express authority in the Florida Constitution to remove questions from the ballot proposed by the Legislature.,0.0,1.0
The only two (Donald Trump tax returns) we have show that he hasnt paid a penny in taxes. The only years that anybodys ever seen of Donald Trumps tax returns showed he didnt pay any federal income tax.,0.0,1.0
Says New Jersey Devils managing partner Jeff Vanderbeek froze all those monies during the toughest years in 08-09 and refused to give the charitable dollars that he was required to give by the contract. Says New Jersey Devils managing partner Jeff Vanderbeek took us into arbitration.,0.5,0.5
"The Trans-Pacific Partnership knocks out 18,000 tariffs that other countries place on American products and goods. ""18 million illegal immigrants got their government checks this month"" while federal workers remain unpaid.",0.5,0.5
"Texas has, now, the highest share of minimum-wage workers in the nation. Says Texas unemployment is dire in various ways such as a doubling in the jobless rate during Rick Perrys governorship. Also, the Texas rate has increased faster than the national rate during Barack Obamas presidency.",1.0,0.0
"If every small business in our state, on average, was able to create one new job we would cut our unemployment rate in half. We could cut unemployment in half simply by reclaiming the jobs taken by illegal workers.",0.5,0.5
"Says a ""Clorox bottle claimed it could kill (the 2019 coronavirus)... before it was developed."". ""Fish tank additive may treat coronavirus."".",0.0,1.0
"I am the only person in this field who is against amnesty. Every other person in this field wants to allow people who are here illegally to be able to stay here, in one form or another. Amajority of the men and women on this stage have previously and publicly embraced amnesty. I am the only candidate on this stage who has never supportedamnesty.",0.5,0.5
"Last year, American oil production reached its highest level since 2003. American oil production is at its highest level since 2003.",1.0,0.0
"In my years in the State Legislature, I have never voted for a tax increase. Says he never voted for a tax increase.",0.0,1.0
"40,000 veterans in Texas wont get health care because Perry rejected Obamacares Medicaid expansion. In the last 24 months, 10 rural Texas hospitals have been forced to shut their doors because state leaders chose not to expand Medicaid.",0.5,0.5
Theres no scientific conclusion that (being gay) is genetic. Says scientists are in dispute over whether being gay is a choice.,0.5,0.5
The U.S. Constitution is the oldest written constitution still in use today among nations. The United States has the longest surviving constitution.,1.0,0.0
"Says a 392-year-old shark was discovered in the Arctic Ocean. ""National Geographic's photo of the year"" is a great white shark leaping out of the water.",0.5,0.5
"Says the University of Texas can afford to build a medical school because it has a $7 billion endowment and its football program had a $50 million profit last year. Texas population is projected to double in the next 50 years or so, but our basic amount of water will remain about where it is now.",1.0,0.0
"""Missouri ranks 45th in the nation in per capita state fiscal support for higher education and Missouri State is last among Missouri schools."". Arizona schools rank 45th in the nation, dead last in funding per student.",1.0,0.0
"Says court ruling allows abortions in North Carolina ""until right before the baby is delivered."". Schuyler VanValkenburg co-sponsored a bill that would have ""allowed abortion until the moment of birth."".",0.0,1.0
"Says Tony Evers ""didn't revoke the license of a teacher caught spreading pornography and commenting on the bodies of middle-school girls."". ""A teacher watched hard-core pornography in his classroom,"" along with other inappropriate behavior, but Tony Evers didn't revoke the teacher's license and ""the teacher is still in the classroom."".",0.5,0.5
"Donald Trump said he was excited for the 2008 housing crash that devastated millions of American families, because he thought it would help him scoop up more real estate on the cheap. Says Donald Trump was one of the people who rooted for the housing crisis. He said back in 2006, Gee, I hope it does collapse because then I can go in and buy some and make some money.",1.0,0.0
"""Taxpayers spent $70,000,000 to develop this drug ( remdesivir)."". Says Vince Polistina is collecting nearly $70,000 in taxpayer-funded salaries -- plus a government pension.",0.5,0.5
"Says 1 in 5 Texans did not have health insurance coverage before the pandemic, and now ""nearly 1 in 3 Texans under the age of 65 don't have access to health care insurance."". More than 1 million Texans live without affordable health care because Rick Perry failed to partner with the Legislature to find a Texas solution to closing the coverage gap.",1.0,0.0
"This is the first time in our state, and one of the first times in the country, where benefit reductions    has happened to people who are retired. The total (state) payroll has gone down. The total amount of the number of workers in the state has gone down. I like the fact that the bulk of that is just by retirements.",1.0,0.0
"As many as 22,000 Americans die each year because they dont have health insurance. Today and every day, an estimated 14,000 Americans will lose their health insurance coverage.",0.5,0.5
"Says the House Rules Committee is the only panel, other than the Intelligence and Ethics committees, not able to telecast proceedings in its main hearing room. ""Not even (House Intelligence Chairman Adam) Schiff's Republican colleagues were allowed into the SCIF"" during the House impeachment investigation.",0.5,0.5
"Were the Sunshine State, and were hardly doing any solar energy production. Solar panels drain the suns energy.",0.5,0.5
"Says President Donald ""Trump promised 13,000 new jobs to the people of #Wisconsin. 3 years later, we're still waiting…"". Says that during President Barack Obamas tenure, the United States has created 15 million new jobs.",1.0,0.0
"(Obamas) entire national security team, including his secretary of state, said we want to arm and train and equip (Syrian rebel forces), and he made the unilateral decision to turn them down. Obama keeps talking about getting rid of all nuclear weapons. Hes already significantly reduced our capabilities there.",0.5,0.5
"He has ushered in $3 billion in new investment. ""As some of you may know I am the recent $3.4 million lotto winner. I'd like to spread some positivity so I'm sending $1,000 to the first 100k people that share this."".",0.0,1.0
"There isnt a single (Texas) legislator under the age of 30, even though millennials make up 25 percent of the electorate in Texas. Texas is home to millions of Latinas, but the state has never elected a Latina to Congress.",1.0,0.0
Says he opposed the presidents decision to go into Iraq in 2003. I did not support the war in Iraq The record shows that Im right.,0.0,1.0
Says Obama has doubled the stock market from where we started when he was sworn into office. President Barack Obama has doubled the size of government since he took office.,0.0,1.0
"Health insurance premiums ""have almost doubled ... since 2000."". The size of our federal government has more than doubled since the year 2000.",0.5,0.5
"The IRS filed an $11,000 lien against (Allen) West for back taxes. Three liens were placed on his home for unpaid bills, and a judge ordered West to pay over $5,000 for past due credit card bills. Says California Republican Young Kim is ""a tax cheat"" who ""illegally claimed a $7,000 annual homestead exemption on a house she wasn't living in,"" had ""multiple tax liens placed on her"" as a result and ""owes over $10,000 in unpaid federal income taxes."".",0.5,0.5
"""After years of wage stagnation, we are finally seeing rising wages."". For the first time in 35 years, we have more businesses closing than starting.",0.5,0.5
"Congressman Perriello voted in lock step with Nancy Pelosi 90 percent of the time. Ninety-six percent of the last session, (U.S. Rep. Henry Cuellar) voted with Nancy Pelosi.",1.0,0.0
"The stimulus program cut taxes for 95 percent of the American people. Under Obama's tax plan, ""95 percent of you will get a tax cut."".",1.0,0.0
"Says Marco Rubio said Social Security and Medicare haveweakened us as a people. When President Franklin D. Roosevelt started Social Security, it only affected widows and orphans, and when Medicare began, it was a small program.",0.5,0.5
"When a bill is sent to the governors office, there is no option for changing it You sign it or you dont sign it While there was lots of conversation, there was really no opportunity for any sort of amending. ""There have been no hearings"" on a criminal justice bill being considered in the Senate.",0.5,0.5
Says the Texas unemployment rate has even grown more than the nations as a whole. Texas has a higher unemployment rate than neighboring states.,1.0,0.0
"This years state budget and my spending proposal for Fiscal Year 2016 represent an infusion of more than $1 billion in additional money for K-12 education. ""The post office right now, this year, is operating with about a $12 billion surplus."".",0.5,0.5
"Says he ""led the fight to expand Medicaid."". On expanding Medicaid as part of the health care law.",0.5,0.5
"When Mitt Romney was governor, Massachusetts ranked 47th out of 50 states in job creation. Says under Mitt Romney, Massachusetts was 47th in job creation.",1.0,0.0
"U.S. is ""really not doing (COVID-19) reporting right"" because deaths are being improperly counted and hospitals have an ""incentive"" to pad stats. ""Covid-19 is NOT killing people. Weak immune systems and bad doctors are."".",0.0,1.0
I have now put out all of my emails. I released all my emails.,0.5,0.5
On reauthorization of Export-Import Bank. On support for the auto bailouts.,0.0,1.0
"Says Mitt Romney, as governor of Massachusetts, put into place socialized medicine. ""Mitt Romney has been asked to lead Health and Human Services in Biden administration."".",0.0,1.0
"Under Mayor Angel Taveras Providences bond rating was downgraded from A to BBB, two steps above junk-bond status. As mayor, every year I was in office I did reduce taxes.",1.0,0.0
"Says Kamala Harris said, ""American churches are PROPAGANDA CENTERS for intolerant homophobic, xenophobic vitriol."". Says Raphael Warnock defended the ""hatred"" of Jeremiah Wright, the pastor who said ""not God bless America, God damn America,"" and gave Wright ""an award for truth telling."".",0.0,1.0
"""The facility (NextGen Precision Health Institute) construction alone will bring 3,400 jobs and $472 million in revenue to Missouri."". The barber regulation here in Missouri is 10,000 words long.the book of Revelation is (also) 10,000 words long.",1.0,0.0
"Maj. Nidal Hasan, the man accused of the Fort Hood shootings, ""was an ADVISOR to the Obama Administration."". Says Rep. Michele Bachmann said President Barack Obama might be to blame for the Fort Hood shootings.",0.0,1.0
"""For example, when the COVID-19 pandemic hit, my Administration implemented a program to provide any individual without health-insurance coverage access to necessary COVID‑19‑related testing and treatment."". U.S. is ""really not doing (COVID-19) reporting right"" because deaths are being improperly counted and hospitals have an ""incentive"" to pad stats.",0.5,0.5
"A Scott Rothstein victim says that he was swindled by Charlie Crist. Says Bruce Rauner is ""misquoting newspapers to lie about J.B. Pritzker."".",0.0,1.0
"Quotes Benjamin Franklin as saying ""We are all born ignorant, but one must work hard to remain stupid."". Quotes Mark Twain as saying of journalists that it is ""far better"" to ""fear the media for they will steal your honor"" and describes them as ""a horde of ignorant, self-complacent simpletons…"".",0.5,0.5
The truth was revealed there in that report that showed there was no unlawful or unethical activity on my part. I am very proud that over my almost 30 years of public service I have had no scandals.,0.5,0.5
Says Wisconsin Gov. Scott Walker is denying Democrats the right to vote. Says Gov. Scott Walkers repeal of a 2009 law has left Wisconsin as one of five states without an equal pay law protecting women from gender discrimination in their paycheck.,0.0,1.0
"Gun marketplaces on Facebook mean ANYONE can broker a deal on a gun online, meet the seller in a parking lot somewhere, and walk away with a weapon. ""A quarter of our guns are sold outside of the background checks."".",0.5,0.5
Says he balanced the budget without raising taxes. Says she balanced a $10 billion budget shortfall without raising taxes.,0.0,1.0
I have not changed my position on the (gay) marriage amendment or anything else related to marriage. Pam Bondi refuses to take a position on the gay-adoption ban.,0.5,0.5
Obamacare already has caused millions of hardworking Virginians to lose their health insurance. In about three weeks over a half million Floridians are going to lose their coverage again through Obamacare.,0.5,0.5
"U.S. Senate candidate Jack Kingston voted for the Cash for Clunkers program. Sen. Robert Bennett, R-Utah, cast votes for TARP, the stimulus, and an individual mandate for health care.",0.5,0.5
"Says Hillary Clinton gave up 20 percent of Americas uranium supply to Russia. Says Hillary Clinton sold 20 percent of America's uranium to Russia and then ""the Russian government gave $145 million to the Clinton Foundation."" Former FBI Director and special counsel Robert Mueller ""delivered it."".",0.0,1.0
"""There's 100 million people that have preexisting conditions."". We admit about 100,000 permanent immigrants from the Middle East every year.",1.0,0.0
"""The Failing @nytimes quotes ‘a senior White House official,' who doesn't exist, as saying ‘even if the meeting were reinstated, holding it on June 12 would be impossible, given the lack of time and the amount of planning needed.' WRONG AGAIN! Use real people, not phony sources."". Says they said it was impossible to balance a budget at the same time, with an $11 billion deficit and we did it.",0.5,0.5
"Says on the state level, we spend less today than Jon Corzine spent in fiscal year 2008, five years later. The state has less employees this year than we did last year.",1.0,0.0
"Last year, I was involved with an effort to to help prosecutors get their first pay raise in more than 10 years. ""Last year, I proposed directing more of the education budget to teacher salaries, a move that would have resulted in an average $10,000 raise for teachers."".",0.0,1.0
"I had previously said that NATO was obsolete because it failed to deal adequately with terrorism. Since my comments, they have changed their policy and now have a new division focused on terror threats. NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",0.0,1.0
An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates. Polls show Bernie Sanders would do better than Hillary Clinton in a head-to-head battle against Donald Trump.,0.5,0.5
"Says President Barack Obama is trying to pack the D.C. Circuit Court of Appeals. President Obama himself attempted to filibuster Justice Alito, who now sits on the Supreme Court.",0.5,0.5
Says Georgia ranks near the bottom in per capita transportation spending. Georgias CRCT set some of the lowest expectations for student proficiency in the nation.,1.0,0.0
"Says that under Scott Walker, on a percentage basis, Wisconsin is ""spending twice as much on debt service for just basic road repair and maintenance"" than before he took office. In Wisconsin, Gov. Scott Walker has created a manufacturing-led jobs recovery. 30,000 new jobs were created this year, with 15,000 created in the struggling manufacturing sector.",1.0,0.0
Says (Clinton) called President Assad a reformer. She called Assad a different kind of leader. The Obama administration called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.,1.0,0.0
"A government analysis shows under a proposed transportation tax, metro Atlanta will create or support an additional 200,000 new jobs, including jobs that are maintained year over year. The economic impact of new Atlanta Braves stadium includes 9,241 new jobs and $295 million in wages.",0.0,1.0
"Late changes to the Arizona immigration law ""lay to rest questions over the possibility of racial profiling"". Under the new Arizona immigration law, police can't stop someone to check their immigration status unless they think they see something illegal.",0.0,1.0
Says the national health care law puts federal bureaucrats between an American citizen and her doctor. Says an appointed board created under Obamacare will have the ability to come between you and your doctor in determining the best treatment options for you!,0.0,1.0
"America is No. 1 in wind power. ""The United States is now the No. 1 energy producer in the world. That happened just recently."".",1.0,0.0
Wisconsin Gov. Scott Walkers budget okays disposing of unclaimed pound dogs to university research facilities. Says Gov. Scott Walkers proposed budget would sell off Wisconsins state parks.,0.0,1.0
"""NYC man drops dead in middle of street — suspected coronavirus!"". ""Man visited Albany, N.Y. days before dying from coronavirus."".",0.0,1.0
"Says Time magazine cover features President Donald Trump with the text ""Worst. President. Ever."". A Time magazine cover calls Donald Trump the ""Worst. President. Ever."".",0.0,1.0
"""Trump tax cut benefits all congressional districts, up to $44,697 per family."". Obama plans ""a tax increase for everyone earning more than $42,000 a year."".",0.5,0.5
"""I, all the way back in January, warned (President Trump that) this pandemic was coming. I talked about what we needed to do."". ""The CDC issued its first warning on Jan 8. Trump held campaign rallies on Jan 9, Jan 14, Jan 28, Jan 30, Feb 10, Feb 19, Feb 20, Feb 21, & Feb 28. He golfed on Jan 18, Jan 19, Feb 1, Feb 15, Mar 7, Mar 8. The first time he admitted the coronavirus might be a problem was Mar 13."".",1.0,0.0
Says Rick Santorum supported (Arlen) Specter over conservative candidates twice. Says state Supreme Court candidate Joe Donald twice supported incumbent Justice Rebecca Bradley.,1.0,0.0
"We had the biggest drop of the rate of unemployment (in)all but 4 states. Since 1990, in inflation-adjusted dollars, per-student funding of the (Florida) state university system from general revenue has dropped by about $4,000.",0.5,0.5
"An overwhelming majority of Americans support passage of the DREAM Act, which would provide a path to citizenship for undocumented youth willing to work for a college degree or serve in our armed forces. ""80% of the American people support our Dreamers. Over 70% think they should have a path to citizenship, and that's Democrats, Republicans, independents."".",1.0,0.0
"On the Iraq war, I said it loud and clear, Youll destabilize the Middle East. I never called for a partition of Iraq.",0.5,0.5
"If Florida expanded Medicaid, some studies indicate it would create about 120,000 jobs. Usually it's about $900 a month to get health coverage. (Florida's program has) reduced that, on average, to about $150 a month.",0.5,0.5
"Says Democratic North Carolina House candidate Dan McCready ""took money from the Pelosi crowd"" and is ""with them"" in their agenda and ""wants to repeal your tax cut."". Says Democratic congressional candidate Tom Malinowski ""supports a full repeal of the 2017 tax law, which includes vital tax incentives"" for New Jersey communities.",1.0,0.0
"For the first time in 35 years, we have more businesses dying than we do starting. For the first time in 35 years, we have more businesses closing than starting.",1.0,0.0
"Says President Donald ""Trump promised 13,000 new jobs to the people of #Wisconsin. 3 years later, we're still waiting…"". Says since he and President Trump took office, their policies ""led to an unemployment rate of 3.1% in Wisconsin and 61,000 Wisconsin jobs, including 15,000 manufacturing jobs."".",0.5,0.5
Says Lee Leffingwell raised property taxes 20 percent in three years. Property taxes have increased 20 percent under four years of Chris Christie.,1.0,0.0
"Two million new jobs have been created, in California since 2011. Last year, Beaverton School District had the highest number of homeless students ever recorded in Oregon.",0.5,0.5
"Ohio is doing better right now than the national average on all the (economic) numbers. In the past year alone, Ohio businesses have created more jobs than almost every other state in the country.",1.0,0.0
"Texas ranks 49th in per-pupil funding among the states. Says Texas is 1st in business climate, 49th in education.",1.0,0.0
"Atlanta has issued an increasing number of citations - and collected an increasing amount of revenue - since Mayor Kasim Reed took office in 2010. Atlanta Mayor Kasim Reed became a city resident in the last annexation, opening the door to his candidacy.",1.0,0.0
"Oil production is down 14 percent this year on federal land. Under President Barack Obamas watch, oil production on federal lands has decreased 14 percent over the past year.",1.0,0.0
"""Pat Morrisey joined a federal lawsuit to allow insurance companies to deny coverage for people with pre-existing conditions."". Says ""Mike DeWine wanted to allow insurance companies to refuse to pay for pre-existing conditions."".",1.0,0.0
"For the first time in 35 years, we have more businesses dying than we do starting. We lost more jobs in this great recession than the last four recessions combined.",1.0,0.0
"Under Donald Trumps tax plan, the top 0.1 percent of taxpayers -- people earning multiple millions of dollars a year, on average -- would get more tax relief than the bottom 60 percent of taxpayers combined. Says Donald Trumps tax plan gives the wealthy and corporations more than the Bush tax cuts by at least a factor of two.",1.0,0.0
The United States is the No. 1 country in the world for energy resources. We are the king daddy dogs when it comes to energy. Wind power is the most undependable form of renewable energy.,0.5,0.5
Says Ted Cruz wanted to let in more Syrian refugees and give amnesty to illegal immigrants. Ted Cruz helps run two national organizations that have been leading the push to give amnesty to illegal immigrants.,0.5,0.5
"The first (state) budget that came out of our Republican leadership slashed funding to Planned Parenthood...It resulted in the reduction of hours, the elimination of days, elimination of access to women in my city and all over my state. Takes credit for substantially reducing the size of the state workforce.",1.0,0.0
"At his fathers bank, Alexi made tens of millions in risky loans to convicted mobsters. Then, the bank collapsed. ""Trump's campaign manager, Paul Manafort, commits bank and tax fraud and gets 47 months. A homeless man, Fate Winslow, helped sell $20 of pot and got life in prison."".",1.0,0.0
"For the first time in 35 years, we have more businesses dying than we do starting. More businesses went out of business last year than were started for the first time in our history.",0.5,0.5
Hillary Clinton and her campaign of 2008 startedthe birther controversy. Says Hillary Clinton lied about why her parents named her Hillary.,0.5,0.5
Wisconsin has one of the most progressive tax codes in the country. Wisconsin is one of the highest taxed states in the nation.,1.0,0.0
"Russia has more diversity in its governmental representation than we do in Texas. ""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!"".",0.0,1.0
"Half of all personal bankruptcies in America ""are caused by medical bills."". Sixty-two percent of all personal bankruptcies are ""caused by medical problems."".",1.0,0.0
Agriculture has always required a significant workforce from abroad. Farming is one of the fastest growing areas of our economy.,0.0,1.0
"In 2008, tourism brought in $38 billion dollars and supported more than 300,000 jobs in the state of New Jersey. Rick Scott invested $38 million in the Port of Jacksonvilles vital Mile Point Project, which covered missing federal funds for the project.",1.0,0.0
"""I don't take a dime of PAC money."". ""I've taken a pledge not to take one dime of corporate PAC donations."".",1.0,0.0
Im not a conspiracy theorist and I never allow conspiracy theorists on my program. I don't describe your plan as amnesty in my ad. I don't call it amnesty.,0.0,1.0
"Sanders' ""Medicare for All"" plan ""would cost more than the entire federal budget that we spend now."". Says Bernie Sanders would ""go beyond reform and reorder the economy in ways most Democrats — let alone most Americans — don't support."".",0.0,1.0
"""Most Americans don't own stocks."". Most young Americans right now, theyre not covered by health insurance.",0.5,0.5
"Obamacare isnt helping anyone. With Obamacare,You have no options ..you cant get competitive bidding.",0.0,1.0
"Says the federal health care law upheld by the Supreme Court has improved or saved the lives of more than 4,000 Texans otherwise prevented from obtaining health coverage due to pre-existing conditions. Says because of Texas lawmakers choices, hundreds of thousands of women no longer have access to basic medical care, life-saving cancer screenings and contraception.",1.0,0.0
Says Georgia ranks near the bottom in per capita transportation spending. A real result of his term is Georgia having the lowest taxes per capita of any state.,0.5,0.5
"There's not a major bill I know with Hillary's name on it. Says Hillary Clinton has been saying lately that she thinks that I am, not qualifiedto be president.",0.5,0.5
"McCain ""still thinks it's okay when women don't earn equal pay for equal work."". Sen. Barbara Boxer voted against immigration reform to permit (Hispanic immigrants) people to come here legally to work.",0.0,1.0
"The United States is number 14, number 15 in college graduation rates, and were leading the world in high school dropout rates. ""At UNC 14% of students tested positive."".",0.5,0.5
"Says Julia Roberts told Celine Dion, ""If you hate Trump you can go in your country."". ""Singer Celine Dion Says: ‘I Can't Even Look At An American Flag Any More, I Hate This Country.'"".",0.0,1.0
"Says new U.S. Democratic Rep. Rashida Tlaib has been linked to an ""unindicted terrorist."". Says Merrick Garland authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists.",0.0,1.0
Says gas costs $4.50 a gallon. Says Barack Obama promised gasoline at $2.50 a gallon.,0.0,1.0
Federal spending is the highest its been as a share of our economy in 60 years (and) revenue is the lowest its been as a share of our economy in 60 years. We have 25 million Americans out of work.,1.0,0.0
"Mitt Romney is proposing a tax plan that would give millionaires another tax break and raises taxes on middle class families by up to $2,000 a year. Says U.S. Senate rival Tommy Thompson wants to give a new $265,000 tax cut to millionaires like himself while raising taxes on the middle class.",1.0,0.0
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote. In the 2014 election, 80 percentofpoor people did not vote.",1.0,0.0
"As has been noted by many observers, including Bill Clinton's former secretary of labor, my plan does more than anybody to reduce costs. Says Hillary Clinton is proposing to print instant work permits for millions of illegal immigrants to come in and take everybodys jobs, including low-income African-Americans.",0.0,1.0
Each vegan spares more than 100 animals every year. People for the Ethical Treatment of Animals estimates 200 animals will be spared annually as the result of former President Bill Clinton adopting a vegan diet.,0.5,0.5
"In states where beer is unregulated, the per capita production is significantly higher. The education tax burden for Shelby County -- and Tennessee -- is one of the lowest in the country.",0.5,0.5
